dataset,study_id
blue tit,R_QhJspbYhGLOQVZD-1-1-1
blue tit,R_Rk5gQvyBw90zCvf-1-1-1
blue tit,R_rl4gKNbuSPbhvjj-1-1-1
blue tit,R_rqkAgIU6rLn6bO9-2-2-1
blue tit,R_rqkAgIU6rLn6bO9-1-1-1
blue tit,R_sb3t48UcPt6oBO1-1-1-1
blue tit,R_sb3t48UcPt6oBO1-1-1-2
blue tit,R_sb3t48UcPt6oBO1-2-2-1
blue tit,R_sb3t48UcPt6oBO1-2-2-2
blue tit,R_SDyCfmAPuL4gcKZ-5-5-1
blue tit,R_SDyCfmAPuL4gcKZ-2-2-1
blue tit,R_SDyCfmAPuL4gcKZ-1-1-1
blue tit,R_SDyCfmAPuL4gcKZ-4-4-1
blue tit,R_T0k5x1ig6yJeJl7-1-1-1
blue tit,R_T0k5x1ig6yJeJl7-2-2-1
blue tit,R_vMhaGW8Th967p9n-2-2-1
blue tit,R_yZQkQmoW6cuEO09-1-1-1
eucalyptus,R_1Ej3sywrrnzy7KJ-1-1-1
eucalyptus,R_1ItMbxJAVt7RRtX-1-1-1
eucalyptus,R_1kH1Ko3yaLsrD0E-1-1-1
eucalyptus,R_1l9qIgUeSEKY3ME-1-1-1
eucalyptus,R_1l9qIgUeSEKY3ME-2-2-1
eucalyptus,R_1LRqq2WHrQaENtM-1-1-1
eucalyptus,R_1LRqq2WHrQaENtM-1-2-1
eucalyptus,R_1LTZWsikoIaKdMu-1-1-1
eucalyptus,R_1NqVW3amqwy69rK-3-3-1
eucalyptus,R_1r2FSn2AXuCimpi-1-1-1
eucalyptus,R_21I1NvXiVXIGkqp-1-1-1
eucalyptus,R_21jtSu9hB9Shf6Y-3-3-1
eucalyptus,R_21jtSu9hB9Shf6Y-1-1-1
eucalyptus,R_21jtSu9hB9Shf6Y-4-4-1
eucalyptus,R_21jtSu9hB9Shf6Y-2-2-1
eucalyptus,R_23UKvhBc7D608VO-1-3-1
eucalyptus,R_23UKvhBc7D608VO-5-7-1
eucalyptus,R_23UKvhBc7D608VO-4-6-1
eucalyptus,R_23UKvhBc7D608VO-2-4-1
eucalyptus,R_23UKvhBc7D608VO-3-5-1
eucalyptus,R_27QNfbdXCi5JjQT-1-1-1
eucalyptus,R_27QNfbdXCi5JjQT-2-2-1
eucalyptus,R_2AHKlq0vRRQTSVz-1-1-1
eucalyptus,R_2EgAnNXZmEg7LoJ-3-3-1
eucalyptus,R_2EgAnNXZmEg7LoJ-1-1-1
eucalyptus,R_2EgAnNXZmEg7LoJ-2-2-1
eucalyptus,R_2qt4UsEXYCfKubj-1-1-1
eucalyptus,R_2RWagSaG4jPYGlh-1-1-1
eucalyptus,R_2tLsM42vnTf9wX6-1-1-1
eucalyptus,R_2tLsM42vnTf9wX6-2-2-1
eucalyptus,R_2tLsM42vnTf9wX6-3-3-1
eucalyptus,R_2YQeDDkUPqS56ew-1-1-1
eucalyptus,R_2zj7U8UJE7GgEYS-1-1-1
eucalyptus,R_2zj7U8UJE7GgEYS-1-1-2
eucalyptus,R_2zj7U8UJE7GgEYS-1-1-3
